Region;District;Konie (sztuki);Byd≥o rogate (sztuki);Trzoda chlewna (sztuki);Owce i kozy (sztuki)
£”DZKIE;£ASKI;15241.0;35684.0;11176.0;2344.0
£”DZKIE;£”DZKI;11072.0;26218.0;6670.0;1668.0
£”DZKIE;£”Dè (MIASTO);4899.0;2028.0;867.0;596.0
£”DZKIE;£ CZYCKI;18847.0;42306.0;16878.0;1159.0
åL•SKIE;BIELSKI (BIELSKO);2495.0;14768.0;8305.0;858.0
åL•SKIE;BIELSKO (MIASTO);230.0;106.0;72.0;10.0
åL•SKIE;CIESZY—SKI;3571.0;23883.0;16108.0;4832.0
åL•SKIE;KATOWICE (MIASTO);1220.0;489.0;2004.0;1632.0
åL•SKIE;KATOWICKI;2109.0;2016.0;4317.0;6844.0
åL•SKIE;KR”LEWSKA HUTA;723.0;210.0;1026.0;1070.0
åL•SKIE;LUBLINIECKI;3668.0;14233.0;6819.0;1232.0
åL•SKIE;PSZCZY—SKI;7616.0;35588.0;16244.0;4944.0
åL•SKIE;RYBNICKI;7273.0;30119.0;20219.0;11055.0
åL•SKIE;TARNOG”RSKI;1115.0;3878.0;2530.0;2954.0
åL•SKIE;åWI TOCH£OWICKI;1929.0;962.0;3666.0;6100.0
