Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Orthodox;% Orthodox;Evangelical;% Evangelical;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
WARSZAWSKIE;NIESZAWSKI;103687;0,879642669;40;0,000339345;189;0,001603407;9616;0,081578635;3935;0,033383104;108;0,000916233;299;0,002536607
WARSZAWSKIE;PRZASNYCKI;65288;0,944587517;24;0,000347232;30;0,00043404;87;0,001258717;3540;0,05121676;2;0,000028936;147;0,002126798
WARSZAWSKIE;PUŁTUSKI;98668;0,834070179;29;0,000245146;68;0,000574824;1635;0,013821145;17398;0,147070509;355;0,003000921;144;0,001217275
WARSZAWSKIE;PŁOCKI;109217;0,852298976;43;0,00033556;316;0,002465976;4579;0,035733238;11591;0,090452928;2263;0,01765982;135;0,001053502
WARSZAWSKIE;PŁOŃSKI;71436;0,877333464;42;0,000515818;26;0,000319316;1785;0,021922283;6736;0,082727451;1201;0,014749951;198;0,002431715
WARSZAWSKIE;RADZYMIŃSKI;86059;0,884125419;25;0,000256837;326;0,003349154;1514;0,015554049;9141;0,093909881;47;0,000482854;226;0,002321806
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);83530;0,892872413;12;0,000128271;43;0,000459637;2778;0,029694715;7033;0,075177441;8;8,55139E-05;148;0,001582008
WARSZAWSKIE;RYPIŃSKI;73027;0,843199741;35;0,000404124;88;0,001016084;8084;0,093341185;4864;0,056161742;367;0,004237533;142;0,00163959
WARSZAWSKIE;SIERPECKI;72470;0,871368796;38;0,000456907;28;0,000336668;2737;0,032909292;7574;0,09106868;189;0,002272509;132;0,001587149
WARSZAWSKIE;SKIERNIEWICKI;64533;0,908339785;38;0,000534872;40;0,000563023;1397;0,019663593;4558;0,064156521;373;0,005250194;106;0,001492012
WARSZAWSKIE;SOCHACZEWSKI;65804;0,875274338;34;0,000452242;66;0,000877881;5123;0,068142217;3853;0,051249651;147;0,001955281;154;0,00204839
WARSZAWSKIE;WARSZAWSKI;276510;0,848002895;228;0,000699232;2144;0,006575235;9689;0,029714296;35736;0,109595427;867;0,002658922;898;0,002753993
WARSZAWSKIE;WŁOCŁAWSKI;124034;0,839281123;51;0,000345094;249;0,001684869;8055;0,054504486;15042;0,101782307;82;0,000554856;273;0,001847266
WARSZAWSKIE;ŁOWICKI;97260;0,928186286;24;0,00022904;74;0,000706208;1143;0,01090805;5744;0,054817006;324;0,003092046;216;0,002061364
WOŁYŃSKIE;DUBIEŃSKI;27638;0,121909585;838;0,003696368;172674;0,761654809;3545;0,015636785;18227;0,08039822;3664;0,016161687;123;0,000542546
WOŁYŃSKIE;HOROCHOWSKI;17675;0,144823631;2060;0,01687902;85273;0,698701299;5199;0,042599041;10112;0,082854685;1672;0,013699865;54;0,00044246
WOŁYŃSKIE;KOSTOPOLSKI;34450;0,215849425;1303;0,008164058;102609;0,642905477;6694;0,04194183;10786;0,067580607;3643;0,022825529;117;0,000733074
WOŁYŃSKIE;KOWELSKI;35191;0,137952527;2412;0,009455301;185305;0,726415649;3398;0,013320528;26719;0,104741371;1833;0,007185558;237;0,000929066
WOŁYŃSKIE;KRZEMIENIECKI;25082;0,103204516;716;0,002946114;194517;0,800376082;1198;0,004929392;18751;0,077154449;2571;0,010578854;197;0,000810593
WOŁYŃSKIE;LUBOMELSKI;10998;0,128621049;107;0,00125136;65578;0,766931362;930;0,010876303;6861;0,080239045;931;0,010887997;102;0,001192885
WOŁYŃSKIE;RÓWIEŃSKI;36444;0,144168806;501;0,001981906;166469;0,658534656;7752;0,030666134;37713;0,149188843;3686;0,014581446;222;0,00087821
WOŁYŃSKIE;SARNEŃSKI;28192;0,155512897;450;0,002482293;132241;0,729468679;1700;0,009377551;16088;0,088744732;2478;0,01366916;135;0,000744688
WOŁYŃSKIE;WŁODZIMIERSKI;38483;0,255915251;1636;0,01087954;88005;0,5852408;2965;0,019717504;17331;0,115252637;1926;0,012808065;28;0,000186202
