District;Region;Large Land Estates/Number of estates/From 100 to 200;Large Land Estates/Total area/From 100 to 200;Large Land Estates/Arable land/From 100 to 200;Large Land Estates/Meadows/From 100 to 200;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 100 to 200;Large Land Estates/Orchards/From 100 to 200;Large Land Estates/Vegetable gardens/From 100 to 200;Large Land Estates/Parks/From 100 to 200;Large Land Estates/Land under forest use/From 100 to 200;Large Land Estates/Ponds and lakes/From 100 to 200;Large Land Estates/Under buildings and roads/From 100 to 200;Large Land Estates/Unproductive land/From 100 to 200;Large Land Estates/Number of estates/From 200 to 300;Large Land Estates/Total area/From 200 to 300;Large Land Estates/Arable land/From 200 to 300;Large Land Estates/Meadows/From 200 to 300;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 200 to 300;Large Land Estates/Orchards/From 200 to 300;Large Land Estates/Vegetable gardens/From 200 to 300;Large Land Estates/Parks/From 200 to 300;Large Land Estates/Land under forest use/From 200 to 300;Large Land Estates/Ponds and lakes/From 200 to 300;Large Land Estates/Under buildings and roads/From 200 to 300;Large Land Estates/Unproductive land/From 200 to 300;Large Land Estates/Number of estates/From 300 to 400;Large Land Estates/Total area/From 300 to 400;Large Land Estates/Arable land/From 300 to 400;Large Land Estates/Meadows/From 300 to 400;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 300 to 400;Large Land Estates/Orchards/From 300 to 400;Large Land Estates/Vegetable gardens/From 300 to 400;Large Land Estates/Parks/From 300 to 400;Large Land Estates/Land under forest use/From 300 to 400;Large Land Estates/Ponds and lakes/From 300 to 400;Large Land Estates/Under buildings and roads/From 300 to 400;Large Land Estates/Unproductive land/From 300 to 400;Large Land Estates/Number of estates/From 400 to 500;Large Land Estates/Total area/From 400 to 500;Large Land Estates/Arable land/From 400 to 500;Large Land Estates/Meadows/From 400 to 500;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 400 to 500;Large Land Estates/Orchards/From 400 to 500;Large Land Estates/Vegetable gardens/From 400 to 500;Large Land Estates/Parks/From 400 to 500;Large Land Estates/Land under forest use/From 400 to 500;Large Land Estates/Ponds and lakes/From 400 to 500;Large Land Estates/Under buildings and roads/From 400 to 500;Large Land Estates/Unproductive land/From 400 to 500;Large Land Estates/Number of estates/From 50 to 100;Large Land Estates/Total area/From 50 to 100;Large Land Estates/Arable land/From 50 to 100;Large Land Estates/Meadows/From 50 to 100;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 50 to 100;Large Land Estates/Orchards/From 50 to 100;Large Land Estates/Vegetable gardens/From 50 to 100;Large Land Estates/Parks/From 50 to 100;Large Land Estates/Land under forest use/From 50 to 100;Large Land Estates/Ponds and lakes/From 50 to 100;Large Land Estates/Under buildings and roads/From 50 to 100;Large Land Estates/Unproductive land/From 50 to 100;Large Land Estates/Number of estates/From 500 to 1000;Large Land Estates/Total area/From 500 to 1000;Large Land Estates/Arable land/From 500 to 1000;Large Land Estates/Meadows/From 500 to 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 500 to 1000;Large Land Estates/Orchards/From 500 to 1000;Large Land Estates/Vegetable gardens/From 500 to 1000;Large Land Estates/Parks/From 500 to 1000;Large Land Estates/Land under forest use/From 500 to 1000;Large Land Estates/Ponds and lakes/From 500 to 1000;Large Land Estates/Under buildings and roads/From 500 to 1000;Large Land Estates/Unproductive land/From 500 to 1000;Large Land Estates/Number of estates/Over 1000;Large Land Estates/Total area/Over 1000;Large Land Estates/Arable land/Over 1000;Large Land Estates/Meadows/Over 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Over 1000;Large Land Estates/Orchards/Over 1000;Large Land Estates/Vegetable gardens/Over 1000;Large Land Estates/Parks/Over 1000;Large Land Estates/Land under forest use/Over 1000;Large Land Estates/Ponds and lakes/Over 1000;Large Land Estates/Under buildings and roads/Over 1000;Large Land Estates/Unproductive land/Over 1000;Large Land Estates/Number of estates/Together;Large Land Estates/Total area/Together;Large Land Estates/Arable land/Together;Large Land Estates/Meadows/Together;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Together;Large Land Estates/Orchards/Together;Large Land Estates/Vegetable gardens/Together;Large Land Estates/Parks/Together;Large Land Estates/Land under forest use/Together;Large Land Estates/Ponds and lakes/Together;Large Land Estates/Under buildings and roads/Together;Large Land Estates/Unproductive land/Together
GRÓDECKI;LWOWSKIE;6.0;732.0;497.0;106.0;31.0;0.0;2.0;0.0;63.0;12.0;6.0;15.0;5.0;1256.0;599.0;195.0;103.0;5.0;8.0;2.0;329.0;3.0;10.0;2.0;5.0;1828.0;714.0;250.0;78.0;5.0;4.0;0.0;747.0;0.0;10.0;20.0;2.0;851.0;386.0;373.0;18.0;2.0;4.0;9.0;0.0;35.0;11.0;13.0;8.0;562.0;348.0;89.0;43.0;3.0;3.0;1.0;65.0;1.0;7.0;2.0;3.0;1933.0;942.0;376.0;41.0;1.0;7.0;4.0;550.0;1.0;10.0;1.0;8.0;22227.0;3056.0;906.0;495.0;2.0;28.0;4.0;16517.0;1136.0;29.0;54.0;37.0;29389.0;6542.0;2295.0;809.0;18.0;56.0;20.0;18271.0;1188.0;83.0;107.0
JAROSŁAWSKI;LWOWSKIE;13.0;1945.0;1395.0;282.0;68.0;15.0;16.0;6.0;117.0;4.0;17.0;25.0;8.0;2050.0;1457.0;265.0;87.0;17.0;10.0;13.0;160.0;6.0;26.0;9.0;9.0;3100.0;2128.0;292.0;54.0;24.0;8.0;2.0;535.0;8.0;19.0;30.0;3.0;1310.0;844.0;149.0;8.0;13.0;0.0;2.0;244.0;1.0;5.0;44.0;2.0;147.0;133.0;0.0;12.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;4410.0;1965.0;314.0;208.0;15.0;11.0;21.0;1763.0;13.0;56.0;44.0;7.0;33419.0;9387.0;2316.0;740.0;89.0;71.0;31.0;20135.0;216.0;241.0;193.0;48.0;46381.0;17309.0;3618.0;1177.0;174.0;116.0;75.0;22954.0;248.0;365.0;345.0
JAWOROWSKI;LWOWSKIE;13.0;1768.0;856.0;287.0;107.0;1.0;3.0;0.0;392.0;41.0;32.0;49.0;7.0;1845.0;685.0;164.0;120.0;9.0;9.0;4.0;784.0;13.0;15.0;42.0;5.0;1699.0;792.0;287.0;58.0;7.0;11.0;7.0;482.0;3.0;23.0;29.0;3.0;1411.0;360.0;75.0;58.0;1.0;4.0;0.0;841.0;0.0;8.0;64.0;4.0;242.0;98.0;74.0;48.0;6.0;0.0;0.0;7.0;6.0;3.0;0.0;9.0;6556.0;1506.0;706.0;174.0;9.0;6.0;21.0;4006.0;18.0;51.0;59.0;6.0;13857.0;2721.0;905.0;119.0;14.0;13.0;51.0;9453.0;461.0;32.0;88.0;47.0;27378.0;7018.0;2498.0;684.0;47.0;46.0;83.0;15965.0;542.0;164.0;331.0
KOLBUSZOWSKI;LWOWSKIE;3.0;426.0;213.0;47.0;26.0;4.0;0.0;3.0;105.0;1.0;7.0;20.0;2.0;552.0;84.0;46.0;12.0;2.0;1.0;0.0;406.0;0.0;1.0;0.0;1.0;393.0;5.0;3.0;4.0;0.0;1.0;0.0;379.0;0.0;1.0;0.0;1.0;493.0;81.0;15.0;20.0;3.0;0.0;0.0;365.0;0.0;6.0;3.0;2.0;108.0;0.0;0.0;0.0;0.0;0.0;0.0;108.0;0.0;0.0;0.0;6.0;4442.0;515.0;191.0;97.0;3.0;8.0;2.0;3606.0;2.0;15.0;3.0;6.0;17483.0;1729.0;626.0;204.0;18.0;14.0;9.0;14492.0;53.0;38.0;300.0;21.0;23897.0;2627.0;928.0;363.0;30.0;24.0;14.0;19461.0;56.0;68.0;326.0
KROŚNIEŃSKI;LWOWSKIE;6.0;979.0;442.0;128.0;49.0;5.0;6.0;0.0;315.0;2.0;14.0;18.0;3.0;637.0;229.0;136.0;11.0;2.0;3.0;17.0;208.0;5.0;19.0;7.0;5.0;1637.0;686.0;164.0;50.0;7.0;9.0;9.0;666.0;3.0;33.0;10.0;1.0;436.0;158.0;51.0;13.0;16.0;2.0;0.0;188.0;0.0;7.0;1.0;2.0;128.0;57.0;31.0;20.0;4.0;1.0;0.0;3.0;0.0;3.0;9.0;4.0;3315.0;1091.0;171.0;58.0;8.0;11.0;9.0;1927.0;2.0;18.0;20.0;3.0;4870.0;416.0;132.0;65.0;3.0;3.0;9.0;4208.0;2.0;5.0;27.0;24.0;12002.0;3079.0;813.0;266.0;45.0;35.0;44.0;7515.0;14.0;99.0;92.0
LESKI;LWOWSKIE;15.0;2371.0;663.0;128.0;254.0;16.0;8.0;0.0;1246.0;2.0;14.0;40.0;23.0;5671.0;1601.0;258.0;555.0;13.0;14.0;0.0;3119.0;5.0;37.0;69.0;15.0;5155.0;1583.0;178.0;535.0;9.0;4.0;3.0;2749.0;2.0;20.0;72.0;4.0;1751.0;496.0;85.0;166.0;1.0;6.0;0.0;966.0;1.0;19.0;11.0;15.0;1179.0;424.0;51.0;178.0;3.0;1.0;0.0;461.0;0.0;11.0;50.0;19.0;13592.0;3030.0;686.0;954.0;42.0;19.0;3.0;8670.0;52.0;42.0;94.0;11.0;33750.0;1796.0;1155.0;1083.0;2.0;10.0;3.0;29524.0;21.0;44.0;112.0;102.0;63469.0;9593.0;2541.0;3725.0;86.0;62.0;9.0;46735.0;83.0;187.0;448.0
LUBACZOWSKI;LWOWSKIE;2.0;245.0;127.0;41.0;18.0;0.0;0.0;0.0;34.0;4.0;9.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;191.0;137.0;8.0;9.0;2.0;2.0;0.0;20.0;1.0;6.0;6.0;4.0;3105.0;613.0;92.0;472.0;2.0;6.0;3.0;1837.0;12.0;16.0;52.0;12.0;29573.0;6344.0;1871.0;780.0;21.0;38.0;11.0;20040.0;242.0;92.0;134.0;20.0;33114.0;7221.0;2012.0;1279.0;25.0;46.0;14.0;21931.0;259.0;123.0;204.0
LWOWSKI;LWOWSKIE;15.0;2058.0;1371.0;238.0;89.0;22.0;14.0;5.0;280.0;3.0;28.0;8.0;6.0;1633.0;801.0;295.0;105.0;19.0;14.0;8.0;370.0;11.0;10.0;0.0;9.0;3354.0;1667.0;537.0;125.0;14.0;26.0;7.0;828.0;53.0;30.0;67.0;2.0;948.0;268.0;350.0;58.0;1.0;1.0;12.0;242.0;0.0;10.0;6.0;16.0;1108.0;660.0;189.0;42.0;19.0;12.0;15.0;93.0;6.0;27.0;45.0;3.0;1874.0;786.0;472.0;126.0;14.0;18.0;5.0;414.0;11.0;10.0;18.0;7.0;12249.0;3008.0;1146.0;214.0;43.0;22.0;9.0;7459.0;42.0;102.0;204.0;58.0;23224.0;8561.0;3227.0;759.0;132.0;107.0;61.0;9686.0;126.0;217.0;348.0
LWÓW (MIASTO);LWOWSKIE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOŚCISKI;LWOWSKIE;14.0;2144.0;1381.0;231.0;120.0;28.0;9.0;3.0;299.0;8.0;43.0;22.0;7.0;1785.0;1126.0;228.0;35.0;20.0;9.0;13.0;313.0;2.0;18.0;21.0;8.0;2816.0;1634.0;281.0;58.0;25.0;10.0;9.0;765.0;8.0;14.0;12.0;1.0;447.0;325.0;29.0;0.0;6.0;3.0;6.0;75.0;1.0;2.0;0.0;5.0;380.0;243.0;54.0;31.0;3.0;3.0;2.0;29.0;1.0;5.0;9.0;6.0;4243.0;1837.0;250.0;241.0;25.0;24.0;21.0;1784.0;7.0;49.0;5.0;5.0;8854.0;3256.0;1193.0;337.0;21.0;24.0;79.0;3721.0;180.0;39.0;4.0;46.0;20669.0;9802.0;2266.0;822.0;128.0;82.0;133.0;6986.0;207.0;170.0;73.0
NIŻAŃSKI;LWOWSKIE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;305.0;162.0;70.0;44.0;1.0;2.0;0.0;0.0;5.0;4.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;50173.0;1377.0;2771.0;246.0;6.0;39.0;5.0;45441.0;14.0;146.0;128.0;12.0;50478.0;1539.0;2841.0;290.0;7.0;41.0;5.0;45441.0;19.0;150.0;145.0
PRZEMYSKI;LWOWSKIE;9.0;1321.0;940.0;67.0;76.0;20.0;3.0;5.0;169.0;3.0;22.0;16.0;4.0;1055.0;535.0;63.0;38.0;10.0;7.0;5.0;373.0;16.0;7.0;1.0;5.0;1845.0;1026.0;156.0;100.0;9.0;13.0;7.0;498.0;3.0;15.0;18.0;3.0;1352.0;674.0;27.0;28.0;12.0;7.0;0.0;602.0;0.0;1.0;1.0;4.0;292.0;203.0;34.0;21.0;6.0;4.0;8.0;1.0;2.0;10.0;3.0;9.0;5790.0;2292.0;231.0;156.0;23.0;23.0;20.0;2912.0;22.0;36.0;75.0;10.0;14887.0;5916.0;1194.0;421.0;118.0;57.0;37.0;6889.0;25.0;70.0;160.0;44.0;26542.0;11586.0;1772.0;840.0;198.0;114.0;82.0;11444.0;71.0;161.0;274.0
PRZEWORSKI;LWOWSKIE;3.0;480.0;299.0;68.0;15.0;5.0;1.0;2.0;84.0;0.0;6.0;0.0;2.0;573.0;433.0;59.0;42.0;1.0;1.0;0.0;15.0;2.0;18.0;2.0;1.0;394.0;343.0;3.0;26.0;1.0;3.0;5.0;0.0;1.0;3.0;9.0;3.0;1437.0;440.0;34.0;31.0;3.0;5.0;1.0;914.0;1.0;4.0;4.0;1.0;81.0;65.0;12.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;1864.0;784.0;158.0;48.0;3.0;3.0;2.0;850.0;2.0;6.0;8.0;2.0;4274.0;2822.0;292.0;36.0;0.0;3.0;0.0;1054.0;5.0;55.0;7.0;15.0;9103.0;5186.0;626.0;198.0;14.0;17.0;11.0;2918.0;11.0;92.0;30.0
RAWSKI (RAWA RUSKA);LWOWSKIE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1259.0;281.0;113.0;316.0;2.0;9.0;0.0;499.0;9.0;5.0;25.0;3.0;1063.0;698.0;56.0;20.0;4.0;4.0;3.0;267.0;1.0;8.0;2.0;5.0;2227.0;1215.0;462.0;60.0;13.0;10.0;2.0;439.0;3.0;13.0;10.0;2.0;110.0;94.0;2.0;1.0;1.0;0.0;0.0;9.0;0.0;1.0;2.0;15.0;11024.0;5239.0;1355.0;290.0;40.0;36.0;16.0;3854.0;17.0;93.0;84.0;12.0;27092.0;6378.0;1917.0;526.0;24.0;60.0;18.0;17895.0;15.0;124.0;135.0;42.0;42775.0;13905.0;3905.0;1213.0;84.0;119.0;39.0;22963.0;45.0;244.0;258.0
RUDECKI;LWOWSKIE;6.0;871.0;551.0;101.0;25.0;7.0;8.0;4.0;150.0;2.0;22.0;1.0;3.0;697.0;330.0;289.0;24.0;8.0;3.0;1.0;37.0;0.0;2.0;3.0;4.0;1263.0;788.0;130.0;12.0;7.0;7.0;17.0;238.0;45.0;12.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;125.0;103.0;15.0;0.0;2.0;1.0;0.0;0.0;0.0;3.0;1.0;5.0;3245.0;1331.0;656.0;82.0;25.0;30.0;2.0;843.0;25.0;12.0;239.0;6.0;15926.0;4153.0;4137.0;863.0;5.0;50.0;4.0;5491.0;803.0;52.0;368.0;26.0;22127.0;7256.0;5328.0;1006.0;54.0;99.0;28.0;6759.0;875.0;103.0;619.0
RZESZOWSKI;LWOWSKIE;5.0;741.0;609.0;61.0;32.0;3.0;4.0;3.0;12.0;3.0;8.0;6.0;4.0;951.0;620.0;208.0;32.0;5.0;3.0;10.0;32.0;29.0;9.0;3.0;2.0;653.0;325.0;52.0;30.0;2.0;1.0;2.0;238.0;0.0;3.0;0.0;2.0;881.0;283.0;20.0;33.0;3.0;2.0;1.0;522.0;0.0;4.0;13.0;3.0;242.0;179.0;31.0;14.0;0.0;3.0;8.0;0.0;1.0;6.0;0.0;11.0;8414.0;3091.0;751.0;135.0;26.0;10.0;10.0;4308.0;13.0;48.0;22.0;3.0;4568.0;1028.0;160.0;122.0;10.0;3.0;12.0;3129.0;1.0;51.0;52.0;30.0;16450.0;6135.0;1283.0;398.0;49.0;26.0;46.0;8241.0;47.0;129.0;96.0
SAMBORSKI;LWOWSKIE;4.0;612.0;269.0;126.0;49.0;7.0;2.0;0.0;152.0;0.0;6.0;1.0;5.0;1211.0;297.0;106.0;37.0;6.0;4.0;7.0;744.0;0.0;7.0;3.0;9.0;2913.0;1208.0;308.0;164.0;11.0;4.0;11.0;1100.0;9.0;12.0;86.0;3.0;1390.0;93.0;771.0;64.0;3.0;2.0;2.0;447.0;0.0;2.0;6.0;4.0;271.0;126.0;48.0;20.0;3.0;2.0;5.0;65.0;0.0;2.0;0.0;11.0;7532.0;2843.0;646.0;232.0;56.0;41.0;26.0;3436.0;92.0;45.0;115.0;3.0;4965.0;1963.0;882.0;143.0;10.0;20.0;2.0;1848.0;16.0;42.0;39.0;39.0;18894.0;6799.0;2887.0;709.0;96.0;75.0;53.0;7792.0;117.0;116.0;250.0
SANOCKI;LWOWSKIE;10.0;1620.0;707.0;229.0;88.0;11.0;3.0;3.0;521.0;1.0;16.0;41.0;9.0;2261.0;1043.0;223.0;134.0;7.0;7.0;5.0;760.0;3.0;32.0;47.0;7.0;2403.0;839.0;107.0;63.0;9.0;10.0;8.0;1330.0;3.0;16.0;18.0;4.0;1804.0;927.0;170.0;97.0;6.0;6.0;6.0;557.0;3.0;10.0;22.0;8.0;599.0;269.0;33.0;21.0;2.0;4.0;8.0;239.0;2.0;5.0;16.0;9.0;6504.0;1503.0;572.0;131.0;41.0;16.0;4.0;4105.0;5.0;31.0;96.0;3.0;5186.0;774.0;399.0;121.0;11.0;0.0;0.0;3849.0;1.0;16.0;15.0;50.0;20377.0;6062.0;1733.0;655.0;87.0;46.0;34.0;11361.0;18.0;126.0;255.0
SOKALSKI;LWOWSKIE;6.0;936.0;770.0;92.0;0.0;7.0;7.0;1.0;38.0;1.0;14.0;6.0;4.0;1102.0;829.0;101.0;11.0;7.0;15.0;0.0;107.0;0.0;12.0;20.0;9.0;3208.0;2191.0;448.0;57.0;19.0;21.0;8.0;397.0;24.0;26.0;17.0;7.0;3167.0;2460.0;481.0;17.0;7.0;16.0;3.0;159.0;1.0;20.0;3.0;1.0;83.0;83.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;10879.0;7110.0;1038.0;179.0;47.0;65.0;17.0;2169.0;24.0;71.0;159.0;11.0;27178.0;9771.0;1859.0;162.0;72.0;101.0;26.0;14791.0;203.0;135.0;58.0;53.0;46553.0;23214.0;4019.0;426.0;159.0;225.0;55.0;17661.0;253.0;278.0;263.0
STAROSAMBORSKI;LWOWSKIE;7.0;945.0;535.0;48.0;198.0;8.0;4.0;9.0;99.0;4.0;9.0;31.0;3.0;842.0;306.0;50.0;34.0;0.0;3.0;0.0;438.0;1.0;8.0;2.0;2.0;685.0;93.0;3.0;87.0;0.0;1.0;0.0;492.0;0.0;3.0;6.0;2.0;859.0;104.0;9.0;0.0;0.0;1.0;0.0;741.0;1.0;2.0;1.0;1.0;72.0;6.0;0.0;9.0;0.0;0.0;0.0;57.0;0.0;0.0;0.0;3.0;1767.0;367.0;149.0;35.0;9.0;4.0;5.0;1187.0;4.0;6.0;1.0;3.0;5993.0;188.0;71.0;89.0;2.0;1.0;0.0;5625.0;0.0;3.0;14.0;21.0;11163.0;1599.0;330.0;452.0;19.0;14.0;14.0;8639.0;10.0;31.0;55.0
STRZYŻOWSKI;LWOWSKIE;3.0;475.0;210.0;15.0;11.0;2.0;2.0;2.0;208.0;9.0;7.0;9.0;2.0;499.0;208.0;14.0;33.0;1.0;0.0;1.0;222.0;0.0;3.0;17.0;3.0;1114.0;401.0;202.0;30.0;3.0;1.0;1.0;464.0;1.0;3.0;8.0;2.0;988.0;528.0;45.0;64.0;3.0;1.0;0.0;336.0;2.0;4.0;5.0;8.0;613.0;225.0;11.0;17.0;3.0;2.0;0.0;336.0;1.0;8.0;10.0;4.0;2725.0;943.0;62.0;32.0;4.0;5.0;7.0;1638.0;3.0;21.0;10.0;4.0;4701.0;2096.0;241.0;181.0;25.0;7.0;3.0;2086.0;1.0;47.0;14.0;26.0;11115.0;4611.0;590.0;368.0;41.0;18.0;14.0;5290.0;17.0;93.0;73.0
TARNOBRZESKI;LWOWSKIE;3.0;432.0;223.0;69.0;42.0;3.0;1.0;0.0;82.0;0.0;5.0;7.0;2.0;436.0;288.0;101.0;28.0;6.0;0.0;4.0;0.0;0.0;3.0;6.0;2.0;630.0;305.0;31.0;17.0;1.0;0.0;0.0;266.0;1.0;3.0;6.0;1.0;417.0;261.0;29.0;13.0;0.0;0.0;0.0;106.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;666.0;394.0;34.0;125.0;4.0;0.0;0.0;97.0;2.0;4.0;6.0;10.0;35284.0;4828.0;4828.0;619.0;98.0;32.0;40.0;24233.0;186.0;190.0;230.0;19.0;37865.0;6299.0;5092.0;844.0;112.0;33.0;44.0;24784.0;189.0;208.0;260.0
ŁAŃCUCKI;LWOWSKIE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;210.0;82.0;27.0;2.0;0.0;2.0;2.0;93.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;500.0;96.0;7.0;0.0;3.0;0.0;0.0;392.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;25649.0;4431.0;984.0;400.0;40.0;39.0;30.0;19553.0;6.0;62.0;104.0;4.0;26359.0;4609.0;1018.0;402.0;43.0;41.0;32.0;20038.0;6.0;65.0;105.0
ŻÓŁKIEWSKI;LWOWSKIE;7.0;1064.0;407.0;344.0;24.0;7.0;7.0;7.0;167.0;73.0;16.0;12.0;8.0;1945.0;863.0;347.0;162.0;7.0;7.0;8.0;464.0;0.0;19.0;68.0;5.0;1821.0;865.0;323.0;87.0;6.0;15.0;0.0;479.0;0.0;16.0;30.0;2.0;908.0;197.0;300.0;32.0;8.0;8.0;2.0;345.0;2.0;6.0;8.0;3.0;216.0;52.0;6.0;12.0;1.0;2.0;0.0;124.0;0.0;4.0;15.0;10.0;7387.0;1917.0;1208.0;166.0;21.0;18.0;22.0;3792.0;4.0;49.0;190.0;8.0;16536.0;3359.0;1745.0;429.0;16.0;38.0;15.0;10746.0;106.0;45.0;37.0;43.0;29877.0;7660.0;4273.0;912.0;66.0;95.0;54.0;16117.0;185.0;155.0;360.0
M. ST. WARSZAWA;M. ST. WARSZAWA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARANOWICKI;NOWOGRÓDZKIE;33.0;4518.0;2432.0;700.0;305.0;66.0;14.0;12.0;640.0;51.0;71.0;227.0;10.0;2555.0;1592.0;293.0;120.0;18.0;6.0;10.0;283.0;2.0;23.0;208.0;10.0;3387.0;1976.0;380.0;373.0;25.0;8.0;2.0;470.0;1.0;30.0;122.0;6.0;2624.0;851.0;291.0;376.0;7.0;4.0;1.0;832.0;3.0;23.0;236.0;21.0;1502.0;613.0;162.0;350.0;7.0;3.0;0.0;204.0;0.0;37.0;126.0;18.0;13231.0;5777.0;1485.0;885.0;57.0;16.0;59.0;3969.0;11.0;162.0;810.0;22.0;82567.0;14165.0;8140.0;4117.0;112.0;64.0;82.0;47922.0;59.0;323.0;7583.0;120.0;110384.0;27406.0;11451.0;6526.0;292.0;115.0;166.0;54320.0;127.0;669.0;9312.0
BRASŁAWSKI;NOWOGRÓDZKIE;40.0;5382.0;1887.0;918.0;516.0;88.0;44.0;4.0;609.0;160.0;89.0;1067.0;19.0;4683.0;1846.0;893.0;266.0;44.0;39.0;2.0;667.0;164.0;64.0;698.0;5.0;1604.0;451.0;293.0;109.0;13.0;9.0;6.0;356.0;24.0;26.0;317.0;8.0;3482.0;835.0;570.0;405.0;13.0;21.0;5.0;711.0;285.0;34.0;603.0;61.0;4164.0;1734.0;792.0;386.0;28.0;48.0;1.0;370.0;94.0;103.0;608.0;11.0;6760.0;2272.0;1172.0;398.0;47.0;36.0;10.0;1219.0;617.0;58.0;931.0;6.0;22887.0;4681.0;2111.0;820.0;62.0;95.0;8.0;2863.0;11280.0;50.0;917.0;150.0;48962.0;13706.0;6749.0;2900.0;295.0;292.0;36.0;6795.0;12624.0;424.0;5141.0
LIDZKI;NOWOGRÓDZKIE;102.0;14496.0;5865.0;2187.0;2080.0;93.0;78.0;9.0;2089.0;50.0;271.0;1774.0;45.0;10892.0;4610.0;1774.0;807.0;63.0;63.0;9.0;2264.0;38.0;169.0;1095.0;24.0;8336.0;3353.0;1106.0;1048.0;47.0;48.0;7.0;1821.0;35.0;129.0;742.0;17.0;7692.0;2668.0;1135.0;593.0;32.0;34.0;5.0;2438.0;28.0;93.0;666.0;152.0;10862.0;4605.0;1487.0;1563.0;59.0;98.0;8.0;1264.0;19.0;276.0;1483.0;33.0;21278.0;7337.0;3011.0;1053.0;81.0;66.0;12.0;7830.0;87.0;331.0;1470.0;20.0;50879.0;14213.0;5903.0;3249.0;74.0;80.0;87.0;22885.0;135.0;1006.0;3247.0;393.0;124435.0;42651.0;16603.0;10393.0;449.0;467.0;137.0;40591.0;392.0;2275.0;10477.0
NIEŚWIESKI;NOWOGRÓDZKIE;23.0;3115.0;1780.0;520.0;188.0;36.0;16.0;7.0;380.0;8.0;61.0;119.0;17.0;4194.0;2378.0;696.0;179.0;57.0;16.0;15.0;619.0;10.0;72.0;152.0;8.0;2804.0;1612.0;470.0;174.0;22.0;14.0;3.0;426.0;2.0;26.0;55.0;9.0;3904.0;2114.0;701.0;324.0;47.0;16.0;10.0;494.0;8.0;50.0;140.0;43.0;2990.0;1532.0;402.0;334.0;40.0;18.0;0.0;381.0;3.0;96.0;184.0;7.0;5319.0;2396.0;1003.0;418.0;38.0;30.0;63.0;905.0;49.0;53.0;364.0;5.0;39740.0;10557.0;5012.0;2036.0;113.0;73.0;200.0;19343.0;205.0;347.0;1854.0;112.0;62066.0;22369.0;8804.0;3653.0;353.0;183.0;298.0;22548.0;285.0;705.0;2868.0
