Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
WARSZAWSKIE;PRZASNYCKI;62822.0;245251;28030;42795.0;740447.0;97281.0
WARSZAWSKIE;PUŁTUSKI;75685.0;407522;39811;95289.0;1260010.0;121495.0
WARSZAWSKIE;PŁOCKI;203905.0;584980;90913;146719.0;1043178.0;956631.0
WARSZAWSKIE;PŁOŃSKI;101986.0;447044;49605;91220.0;1190420.0;381652.0
WARSZAWSKIE;RADZYMIŃSKI;9854.0;162337;12124;42167.0;577520.0;0.0
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);30615.0;400261;30239;100286.0;1320597.0;14400.0
WARSZAWSKIE;RYPIŃSKI;56056.0;368303;95757;65634.0;1155556.0;278096.0
WARSZAWSKIE;SIERPECKI;36499.0;378508;23374;49272.0;1182086.0;158987.0
WARSZAWSKIE;SKIERNIEWICKI;22073.0;225923;27480;60959.0;685278.0;126.0
WARSZAWSKIE;SOCHACZEWSKI;81893.0;324678;28355;107494.0;941164.0;549191.0
WARSZAWSKIE;WARSZAWSKI;35170.0;214696;39901;122632.0;1504885.0;109464.0
WARSZAWSKIE;WŁOCŁAWSKI;85775.0;256087;71780;43226.0;600734.0;1103607.0
WARSZAWSKIE;ŁOWICKI;98353.0;417388;39427;155327.0;1315003.0;368105.0
WOŁYŃSKIE;DUBIEŃSKI;276964.0;474555;215964;333319.0;1307084.0;98920.0
WOŁYŃSKIE;HOROCHOWSKI;210728.0;252668;110954;160132.0;1359518.0;92278.0
WOŁYŃSKIE;KOSTOPOLSKI;41100.0;289282;42119;90652.0;1203071.0;0.0
WOŁYŃSKIE;KOWELSKI;152794.0;537092;73888;87178.0;990881.0;6891.0
WOŁYŃSKIE;KRZEMIENIECKI;77055.0;525641;299578;441906.0;1416979.0;197974.0
WOŁYŃSKIE;LUBOMELSKI;13170.0;106650;20266;13740.0;315938.0;0.0
WOŁYŃSKIE;RÓWIEŃSKI;192605.0;497193;325941;360853.0;1399090.0;721497.0
WOŁYŃSKIE;WŁODZIMIERSKI;280002.0;345662;111260;157462.0;951600.0;242709.0
WOŁYŃSKIE;ZDOŁBUNOWSKI;103700.0;199440;86820;112666.0;408503.0;309992.0
WOŁYŃSKIE;ŁUCKI;285928.0;488679;175954;262669.0;2226973.0;344682.0
ZIEMIA WILEŃSKA;BRASŁAWSKI;16620.0;201697;36751;47836.0;357973.0;0.0
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;33727.0;207993;30390;102344.0;406066.0;0.0
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;27233.0;261500;82269;211020.0;1071763.0;0.0
ZIEMIA WILEŃSKA;OSZMIAŃSKI;5783.0;135681;58514;111129.0;699809.0;0.0
ZIEMIA WILEŃSKA;POSTAWSKI;13288.0;187453;32840;36532.0;678296.0;0.0
ZIEMIA WILEŃSKA;WILEJSKI;5222.0;171898;67245;67159.0;873847.0;0.0
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;13732.0;355672;98660;135572.0;1751908.0;0.0
ZIEMIA WILEŃSKA;WILNO (MIASTO);;;;;;
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;14894.0;209947;30048;60458.0;776950.0;0.0
ŁÓDZKIE;BRZEZIŃSKI;27974.0;400447;9109;114170.0;1589035.0;4420.0
ŁÓDZKIE;KALISKI;115451.0;475585;25723;168497.0;1864775.0;470891.0
ŁÓDZKIE;KOLSKI;86712.0;510646;45472;101229.0;1565595.0;454687.0
ŁÓDZKIE;KONIŃSKI;34251.0;520964;24771;88000.0;1780009.0;180342.0
ŁÓDZKIE;PIOTRKOWSKI;67107.0;643762;37414;195922.0;3162970.0;21681.0
ŁÓDZKIE;RADOMSZCZAŃSKI;37799.0;573376;52993;125519.0;2887953.0;16600.0
ŁÓDZKIE;SIERADZKI;53359.0;594174;17735;153203.0;2359742.0;89138.0
ŁÓDZKIE;SŁUPECKI;59701.0;417481;61261;66291.0;1119166.0;305456.0
ŁÓDZKIE;TURECKI;49375.0;403425;16067;113460.0;1270526.0;180242.0
ŁÓDZKIE;WIELUŃSKI;27218.0;551770;17756;156683.0;2168521.0;126670.0
ŁÓDZKIE;ŁASKI;27665.0;540732;17999;119179.0;1880296.0;18406.0
ŁÓDZKIE;ŁÓDZKI;9550.0;251168;8579;69427.0;1040374.0;0.0
ŁÓDZKIE;ŁÓDŹ (MIASTO);;;;;;
ŁÓDZKIE;ŁĘCZYCKI;147028.0;486517;45367;146759.0;1958982.0;653000.0
ŚLĄSKIE;BIELSKI (BIELSKO);8001.0;36862;4670;55139.0;275925.0;17745.0
ŚLĄSKIE;BIELSKO (MIASTO);;;;;;
ŚLĄSKIE;CIESZYŃSKI;18991.0;37343;10717;87003.0;348798.0;0.0
ŚLĄSKIE;KATOWICE (MIASTO);;;;;;
ŚLĄSKIE;KATOWICKI;3671.0;52590;4122;26846.0;484566.0;0.0
ŚLĄSKIE;KRÓLEWSKA HUTA;;;;;;
ŚLĄSKIE;LUBLINIECKI;13553.0;90087;11100;56475.0;567032.0;4280.0
ŚLĄSKIE;PSZCZYŃSKI;22940.0;177146;18632;119199.0;1131971.0;55161.0
ŚLĄSKIE;RYBNICKI;48923.0;234438;25093;125525.0;2164428.0;44912.0
ŚLĄSKIE;TARNOGÓRSKI;2631.0;33475;3020;13668.0;218372.0;5600.0
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;3192.0;21164;1863;9917.0;155143.0;0.0
