District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
GRUDZIĄDZKI,18.151422282397636,17.02613195222204,17.407752151151158,15.714924089234826,16.95763601908092,0.0,21.52729327292442,6.663675781300696,3.7183506562324,6.908304113947564,5.381823318231105,3.307375057385661
KARTUSKI,20.459304145866504,18.35706371986921,18.929548835877405,16.48944834141626,16.470678337612714,0.0,23.152799691675536,6.841666386392973,5.631001141064175,9.131606850425738,7.78955157847211,6.334876283697197
KOŚCIERSKI,20.221142028509068,18.21969663873854,19.482023038884027,16.819321549327952,16.434856646588827,0.0,23.34138613186431,5.873741522078945,4.297829359340562,7.716692125821553,6.675080371268623,4.776258854540645
LUBAWSKI,17.341334740041386,16.226877770598282,16.45745507462099,15.429464594186406,16.092374343251702,0.0,17.93699277543339,6.215979820945582,4.419398327101959,6.677134428991004,6.2832315346188725,3.5259112740139544
SĘPOLEŃSKI,18.07,16.93,17.75,16.29,15.33,0.0,18.0,5.7,4.5,11.0,9.25,5.65
STAROGARDZKI,24.631866930075404,23.67375085472223,23.78872519065969,22.3980318501032,21.708927827048235,0.0,27.754597837920404,8.587581534373484,6.270487672181389,9.860796884022694,8.843159849227145,5.9554804038930875
ŚWIECKI,19.44600622326816,18.621262491639513,18.568554728314954,17.138275911479912,17.359327686471556,0.0,22.352069616042183,6.306533497553344,4.641141310350979,10.119004735287515,8.049653661840265,4.378891852525573
TCZEWSKI,32.61225727178794,31.09211467064263,31.872215534867365,29.421999894111046,29.588629461292754,0.0,36.44921725625756,11.554125175465416,8.047130410228647,11.640765176877268,9.937353007138398,5.677043458310776
TORUŃ (MIASTO),19.37902823056834,19.3185632438895,18.31081346590883,17.03097124787337,18.05887602141366,0.0,0.1859946715361495,5.6131662633523485,0.03487400091302803,9.069748001826056,7.306185890359878,4.232549067518827
TORUŃSKI,19.214317922524668,19.085292444080743,18.181490918280975,16.860311714498927,17.902195120159337,0.0,23.865595802732738,5.580801426978459,4.498849105028544,8.92870480449503,7.193772970442098,4.19086474617403
TUCHOLSKI,19.94502793535946,19.46836436936398,20.633676992649622,18.157182580110202,19.080285927148,0.0,24.50882761337521,6.025731415339972,4.70197598147044,10.626799307467524,8.469172223028508,6.822882313013437
WĄBRZESKI,17.136796734473574,16.449441700618316,17.00497522113147,15.743255021999898,16.223461963460423,0.0,18.831644763157776,5.592998494657859,4.303030828381552,7.61740030669732,5.931968100394699,4.2371200717105
MORSKI,21.845495573387858,18.08186342608498,20.322103597271358,17.00212944135799,18.89035246697455,0.0,24.18152429480891,8.817102396061648,5.696019058282793,10.838537053582318,8.596975067345726,6.748535432591712
GDYNIA (MIASTO),21.26258163101241,17.54112694630352,19.784057742763203,16.525270397234333,18.43628766776052,0.0,0.13557041310643697,8.63980965990523,0.031892098891591246,10.591058872968809,8.378302033412174,6.567864619229471
BYDGOSKI,18.662005609208727,18.28298037502918,18.332852116368592,16.956392055400766,17.185802065562072,0.0,21.145618327911546,5.854942433247206,3.9897393071531218,7.361069021697509,6.612992901606299,4.129380182903481
BYDGOSZCZ (MIASTO),18.75799439079127,18.377019624970817,18.427147883631402,17.04360794459923,17.27419793443793,0.0,0.054381672088452966,5.885057566752794,0.010260692846877919,7.39893097830249,6.6470070983937,4.150619817096518
CHODZIESKI,18.3,18.17,18.83,17.36,16.15,0.0,21.0,5.92,4.5,8.0,5.5,4.0
