District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,RazemR,RazemPR,Handel jarmarczny - hurtR,Handel jarmarczny - hurtPR,Handel jarmarczny - detalR,Handel jarmarczny - detalPR,Karty rejestracyjneR,Karty rejestracyjnePR
RADOMSKI,0.0,0.0,10.851477213725712,0.9864979285205192,0.9864979285205192,0.0,0.0,0.0,11.837975142246231,0.9864979285205192,0.0,0.0,0.0,0.0,0.0,0.0
SANDOMIERSKI,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOPNICKI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WŁOSZCZOWSKI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAWIERCIAŃSKI,1.320512147850679,0.0,8.583328961029412,2.641024295701358,2.641024295701358,0.0,0.0,0.0,12.54486540458145,2.641024295701358,0.0,0.0,0.0,0.0,0.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.5887920884712396,0.17919759214342074,0.15359793612293207,0.0,0.0,0.0,0.7423900245941717,0.17919759214342074,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.04183269783796493,0.0,0.27191253594677206,0.08366539567592986,0.08366539567592986,0.0,0.0,0.0,0.3974106294606668,0.08366539567592986,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.1485227862742885,0.013502071479480772,0.013502071479480772,0.0,0.0,0.0,0.16202485775376926,0.013502071479480772,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),0.0,0.0,21.654477339688622,0.5220681913840887,5.0,0.0,5.0,0.0,31.654477339688622,0.5220681913840887,0.0,0.0,0.0,0.0,118.74275010522497,0.0
BOCHEŃSKI,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0
BRZESKI (BRZESKO),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
CHRZANOWSKI,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
DĄBROWSKI,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GORLICKI,0.0,0.0,2.686504274266296,0.0,1.0,0.0,0.0,0.0,3.686504274266296,0.0,0.0,0.0,0.0,0.0,33.902764959932036,0.0
JASIELSKI,0.0,0.0,4.00216003277125,0.0,0.0,0.0,0.0,0.0,4.00216003277125,0.0,0.0,0.0,0.0,0.0,18.284269966903732,0.0
KRAKOWSKI,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.913924263489165,0.0
KRAKÓW (MIASTO),2.0,0.0,186.0,9.0,3.0,0.0,13.0,2.0,204.0,11.0,0.0,0.0,0.0,0.0,452.0,8.0
