District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Evangelical,% Evangelical,Orthodox,% Orthodox,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
SAMBORSKI,34734.00321839538,0.35488553508589865,71822.45254126683,0.8010866942815557,310.07580048880686,0.0029582281660730423,22.348481786475645,0.00021848958075770244,9999.642541100704,0.10960555830716148,6.311221399788327,6.578278735566582e-05,5.660209548242582,5.389651531836587e-05
SANOCKI,41558.0,0.406765394,51285.0,0.501972261,26.0,0.000254485,20.0,0.000195758,9268.0,0.090714223,0.0,0.0,10.0,9.7879e-05
SOKALSKI,21267.54761333406,0.21401951903609184,64388.04298964362,0.6479495533056432,253.872513875114,0.002554768886049561,126.43846769466462,0.0012723751898735547,12895.728126370006,0.12977225086080013,0.9955784857847608,1.0018705418149205e-05,0.0,0.0
TARNOBRZESKI,65240.0,0.912549656,105.0,0.001468696,25.0,0.000349689,17.0,0.000237789,6105.0,0.08539417,0.0,0.0,0.0,0.0
ŻÓŁKIEWSKI,15287.035957846298,0.16880374512645333,61198.30180572737,0.6757688387912704,332.5287928611602,0.003671876744761978,29.723244054628843,0.00032821242051360206,7266.404319980045,0.08023767718769428,2.786554130121454,3.076987378590246e-05,0.9288513767071513,1.0256655557013377e-05
LUBACZOWSKI,30787.725061484078,0.3687463745854217,44716.29002544895,0.5432312356923533,163.61839458840404,0.0019983092796066874,35.86514727695243,0.00043746738933315467,8951.64359417493,0.10845938474744399,6.319618985423128,7.771101874780035e-05,0.1024924738449535,7.441722294697461e-07
TURCZAŃSKI,8810.530260019372,0.13776899008562216,83808.17440837475,1.204188677030474,39.031212967503386,0.0005146200410426219,9.031212967503384,0.00012320504104262192,12216.968807783564,0.17299216346090776,1.0312129675033845,1.882804104262192e-05,0.0,0.0
BRZEZIŃSKI,81652.0,0.65046324,23.0,0.000183225,14688.0,0.117008819,205.0,0.001633089,21820.0,0.173824375,7130.0,0.056799624,11.0,8.76292e-05
KALISKI,148439.0,0.823197649,30.0,0.000166371,10552.0,0.05851819,912.0,0.005057675,20266.0,0.112389086,67.0,0.000371562,54.0,0.000299468
KOLSKI,95727.0,0.828747792,1.0,8.65741e-06,9103.0,0.078808394,69.0,0.000597361,10501.0,0.090911452,104.0,0.000900371,3.0,2.59722e-05
KONIŃSKI,164313.0,1.710904417,29.0,0.0003096313,17900.0,0.187931366,469.0,0.004975474,9190.0,0.095673181,12.0,0.000123153,8.0,8.277870000000001e-05
ŁASKI,119131.0,0.797374903,14.0,9.37057e-05,14064.0,0.094134026,143.0,0.000957136,15453.0,0.103430966,574.0,0.003841932,25.0,0.000167332
ŁĘCZYCKI,101261.0,0.827147081,4.0,3.26739e-05,6328.0,0.051690056,106.0,0.000865857,12892.0,0.10530787,1802.0,0.014719577,29.0,0.000236886
ŁÓDZKI,75689.0,0.690378897,9.0,8.20913e-05,22150.0,0.202035865,142.0,0.001295219,9517.0,0.086807012,2099.0,0.019145521,28.0,0.000255395
ŁÓDŹ (MIASTO),241842.0,0.535079451,104.0,0.000230102,48988.0,0.108386766,1741.0,0.003851991,156155.0,0.345495537,2166.0,0.004792311,978.0,0.002163841
PIOTRKOWSKI,163294.0,0.82770611,9.0,4.56193e-05,11678.0,0.059193552,353.0,0.00178929,21776.0,0.110378387,115.0,0.000582913,60.0,0.000304129
RADOMSZCZAŃSKI,153029.0,0.900981472,15.0,8.83148e-05,3426.0,0.020171095,101.0,0.000594653,13199.0,0.077711116,66.0,0.000388585,11.0,6.47642e-05
SIERADZKI,133701.0,0.860228406,12.0,7.72077e-05,5490.0,0.035322503,97.0,0.000624095,15844.0,0.101939842,240.0,0.001544153,41.0,0.000263793
TURECKI,92144.0,0.902143158,2.0,1.95812e-05,4643.0,0.045457661,56.0,0.000548272,5248.0,0.051380961,46.0,0.000450367,0.0,0.0
WIELUŃSKI,163895.0,0.903694841,14.0,7.71941e-05,2159.0,0.011904434,161.0,0.000887732,15112.0,0.083325522,9.0,4.96248e-05,11.0,6.06525e-05
POŁUDNIOWO-WARSZAWSKI,51260.95809578362,0.28223514429025326,12.61711669157283,6.946779848487705e-05,2441.923584550082,0.013444865019145541,503.6616582014343,0.002773085387356948,7427.048690336655,0.04089221569068692,251.31932436997772,0.0013837263486310225,37.169343767065904,0.00020464895073100365
PÓŁNOCNO-WARSZAWSKI,44411.32472538619,0.24452209064390587,10.93118207897135,6.0185315902695333e-05,2115.6268883111848,0.011648324347323739,436.3609710983969,0.002402537919775299,6434.62555891881,0.03542808283813578,217.73732951896986,0.001198828942785211,32.20267152994263,0.0001773031824462083
PRASKO-WARSZAWSKI,42127.194190408794,0.23194601061995201,10.368977575404628,5.7089909074354844e-05,2006.817524796555,0.011049236310937509,413.9183751046658,0.0022789723594608376,6103.6846376300755,0.033605971781852914,206.53882359657325,0.001137171655790006,30.54644745186769,0.0001681842557877887
ŚRÓDMIEJSKO-WARSZAWSKI,12524.522988421415,0.06895814444588903,3.0827236540511986,1.697297653807281e-05,596.6320023421792,0.003284966322593216,123.05899559550325,0.0006775443334069165,1814.6411131144623,0.009991141689324407,61.40452251447928,0.00033808405279376073,9.081537251123802,5.0001611034999404e-05
BARANOWICKI,32978.36306736176,0.3125702143285877,181.0475246535133,0.0017379888941970207,216.1221726588137,0.002067914415740012,84536.14817951867,0.7992036834612614,14695.884849281418,0.1384708556034524,259.93243111180664,0.0024950772266731595,207.6372132665659,0.0019608111235474195
BRASŁAWSKI,77858.15913686538,0.9657584938397195,4.2350552822243195,5.49983138240496e-05,66.75817771413139,0.000721564977767129,38026.74687422156,0.24671876375606233,8327.934185909291,0.08606928153090179,9449.820936692664,0.11038846368582884,183.04083126089873,0.0019735279000176608
LIDZKI,91935.74970018161,0.5183067260317065,1.1194460050896362,9.44010158658672e-06,54.34619005947038,0.00030622082475167804,31858.961779060726,0.19040350784284657,10850.362976253538,0.060037630483529746,13.774448319364776,7.433826052188903e-05,176.970519046265,0.0011444999627102611
NIEŚWIESKI,15194.340489899389,0.13322992940313252,0.8102351884978077,7.1044581244722925e-06,25.927526031929848,0.00022734308130541135,67227.6442952286,0.5894783186344257,9583.46180955207,0.08403154696578086,0.8102351884978077,7.1044581244722925e-06,371.0877163319959,0.003253842128897682
NOWOGRÓDZKI,14941.732921038718,0.14092123170274606,1.0584705475105924,1.0094508273460242e-05,62.57380747585871,0.0006042201196676806,80795.79595233161,0.7768488204016766,8448.103856802249,0.07983488410395566,16.531658725061202,0.00016119596025858146,403.56661626971464,0.003907929588835946
SŁONIMSKI,15761.781605132004,0.1357007828816285,0.6630955660551958,5.708908014040887e-06,29.839300472483814,0.00025690112587006635,50919.77161294454,0.4383928815065619,10157.29788083349,0.08744907839542422,2.6523822642207833,2.2835618794252225e-05,147.20721566425348,0.001267377870879126
STOŁPECKI,36303.375331297815,0.393867548420674,1.771632682797638,1.5369160428645403e-05,26.805379583239123,0.0002668765933175243,46819.82111135079,0.4860646428505543,6894.76478858064,0.07327913739485846,4.59216131267162,4.847423307456062e-05,207.9474526128347,0.0018486282848369658
WOŁOŻYŃSKI,51409.95384109309,0.5040383778814264,3.2278013799055705,2.7219511069847024e-05,27.062687974341546,0.0002537039685742789,34986.23701377849,0.35824209901380694,5632.1988592771995,0.05871058435025604,3.8450756859439066,3.830696496149994e-05,204.58603554612765,0.00173700554240564
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),48234.41053660993,0.25608783913688177,1.3384440729943394,8.896708197618268e-06,49.06912303391624,0.0002879777066730344,17316.51976834943,0.09545227964037742,7613.245851740857,0.0427052093537075,8.90103233120955,4.866435476763365e-05,72.6347188219404,0.0003954539914762545
BRZESKI (BRZEŚĆ N.BUG.),18053.799913402167,0.15861448483736895,30.360448492777103,0.0002692572766343878,2150.1097135881273,0.01841347647339126,73310.01709155663,0.6280990485063751,23919.443609162896,0.20537795906722114,7.0,5.99454e-05,16.010971358812718,0.0001371866473391256
DROHICKI,1640.0,0.025952652,1.0,1.58248e-05,28.0,0.000443094,54385.0,0.860631093,7118.0,0.112640841,20.0,0.000316496,0.0,0.0
