Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR;R;PR
Lwowska;ROHATYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;31.0;2.0;18.0;5.0;299.0;23.0;356.0;30.0
Krakowska;ROPCZYCKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;7.0;0.0;22.0;0.0;32.0;5.0;272.0;21.0;335.0;26.0
Lwowska;RUDECKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;13.0;3.0;11.0;3.0;304.0;15.0;330.0;21.0
Śląska;RYBNICKI;11.0;0.0;2.0;0.0;3.0;0.0;32.0;2.0;53.0;4.0;36.0;1.0;62.0;2.0;1294.0;65.0;1493.0;74.0
Warszawa Okręgowa;RYPIŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;1.0;15.0;0.0;38.0;0.0;706.0;41.0;768.0;42.0
Lwowska;RZESZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;8.0;1.0;34.0;1.0;44.0;4.0;450.0;13.0;540.0;19.0
;RÓWIEŃSKI;2.0;0.0;1.0;0.0;4.0;0.0;11.0;2.0;18.0;1.0;24.0;4.0;90.0;9.0;1510.0;190.0;1660.0;206.0
Lwowska;SAMBORSKI;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;8.0;0.0;14.0;0.0;14.0;0.0;283.0;13.0;322.0;13.0
Kielecka;SANDOMIERSKI;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;0.0;23.0;0.0;51.0;2.0;604.0;20.0;687.0;22.0
Lwowska;SANOCKI;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;14.0;0.0;30.0;0.0;18.0;0.0;354.0;9.0;419.0;9.0
Poleska;SARNEŃSKI;0.0;0.0;1.0;0.0;2.0;0.0;9.0;0.0;16.0;0.0;32.0;4.0;56.0;9.0;590.0;43.0;706.0;56.0
Lubelska;SIEDLECKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;4.0;0.0;22.0;1.0;32.0;1.0;520.0;23.0;579.0;27.0
Łódzka;SIERADZKI;0.0;0.0;1.0;0.0;1.0;0.0;27.0;4.0;42.0;3.0;86.0;5.0;122.0;10.0;948.0;76.0;1227.0;98.0
Warszawa Okręgowa;SIERPECKI;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;14.0;0.0;31.0;0.0;322.0;32.0;372.0;32.0
Lwowska;SKAŁACKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;24.0;3.0;188.0;10.0;232.0;13.0
Warszawa Okręgowa;SKIERNIEWICKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;19.0;2.0;45.0;3.0;334.0;31.0;403.0;36.0
Lwowska;SKOLSKI;0.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;1.0;2.0;9.0;0.0;10.0;1.0;211.0;13.0;235.0;17.0
Warszawa Okręgowa;SOCHACZEWSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;7.0;0.0;15.0;2.0;23.0;2.0;228.0;13.0;276.0;17.0
