District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);0.0;0.0;68.0;6.0;463.0;17.0;267.0;54.0;0.0;0.0;7.0;1.0
SZUBIŃSKI;0.0;0.0;58.0;1.0;466.0;20.0;132.0;26.0;6.0;3.0;8.0;0.0
SĘPOLEŃSKI;0.0;0.0;40.0;0.0;265.0;6.0;108.0;4.0;1.0;0.0;6.0;1.0
SŁONIMSKI;0.0;0.0;108.0;3.0;731.0;59.0;181.0;30.0;14.0;1.0;6.0;4.0
SŁUPECKI;0.0;0.0;74.0;2.0;508.0;36.0;478.0;117.0;0.0;0.0;24.0;11.0
TARNOBRZESKI;0.0;0.0;35.0;5.0;568.0;33.0;486.0;18.0;3.0;0.0;7.0;1.0
TARNOGÓRSKI;5.0;0.0;152.0;3.0;423.0;41.0;288.0;52.0;2.0;0.0;27.0;4.0
TARNOPOLSKI;1.0;0.0;123.0;1.0;922.0;40.0;1128.0;40.0;7.0;0.0;9.0;0.0
TARNOWSKI;3.0;0.0;115.0;2.0;794.0;48.0;1203.0;111.0;0.0;0.0;8.0;1.0
TCZEWSKI;4.0;0.0;141.0;7.0;370.0;24.0;138.0;26.0;13.0;0.0;13.0;0.0
TOMASZOWSKI;0.0;0.0;44.0;6.0;601.0;19.0;668.0;120.0;0.0;0.0;13.0;2.0
TORUŃ (MIASTO);;;;;;;;;;;;
TORUŃSKI;17.0;0.0;318.0;26.0;1047.0;72.0;322.0;65.0;18.0;6.0;39.0;3.0
TREMBOWELSKI;0.0;0.0;28.0;3.0;492.0;31.0;434.0;26.0;0.0;0.0;3.0;0.0
