scenario,District,avg_inverse_distance_1924,avg_inverse_distance_1938,avg_inverse_distance_change_ratio_1938_vs_1924,avg_inverse_distance_proportional_change_1938_vs_1924
baseline,ŻÓŁKIEWSKI,0.005781911125811215,0.005799246719251065,1.002998246265402,0.002998246265401976
fixed14,AUGUSTOWSKI,0.0004420650851949846,0.00045086490011180083,1.0199061523099813,0.019906152309981353
fixed14,BARANOWICKI,0.0004986641415542902,0.0005052253727137897,1.013157615743231,0.013157615743231014
fixed14,BIALSKI (BIAŁA KRAKOWSKA),0.0006403291083923324,0.0006815245886722327,1.0643348549050493,0.06433485490504935
fixed14,BIALSKI (BIAŁA PODLASKA),0.0006493376398557493,0.0006587222713038042,1.0144526219828252,0.014452621982825075
fixed14,BIAŁOSTOCKI,0.0006015749282412745,0.0006144370544930497,1.021380755161087,0.021380755161087027
fixed14,BIELSKI (BIELSK PODLASKI),0.0005836421556877448,0.0005922191368665492,1.014695616303962,0.014695616303962045
fixed14,BIELSKO,0.000638291310593703,0.0006903821387756818,1.0816098031062444,0.08160980310624441
fixed14,BIŁGORAJSKI,0.0006177076902893538,0.0006227131968527092,1.0081033580155212,0.008103358015521284
fixed14,BOCHEŃSKI,0.0007232682003385251,0.0007701376007581644,1.0648022412677651,0.06480224126776507
fixed14,BORSZCZOWSKI,0.00041458093495222697,0.0004169928432662186,1.0058177019506929,0.005817701950692848
fixed14,BRASŁAWSKI,0.000317182947517043,0.0003243735761651243,1.0226702876190876,0.022670287619087525
fixed14,BRODNICKI,0.0006743430273642813,0.0007476428958495941,1.1086981929238755,0.10869819292387539
fixed14,BRODZKI,0.0006158296680252172,0.0006196204911426375,1.0061556357451507,0.0061556357451506664
fixed14,BRZESKI (BRZESKO),0.0006033237990769868,0.0006203097605114923,1.0281539721464528,0.02815397214645274
fixed14,BRZESKI (BRZEŚĆ N.BUG.),0.0006694389628454004,0.0006773441242462647,1.0118086365443446,0.011808636544344617
