District,year,rural_pop,city_pop_sum,pop_total,MA_district
TARNOWSKI,1924,85035.7,42826.0,127861.7,19841.38076448854
SOKOŁOWSKI,1924,69765.4,8608.8,78374.2,18703.95074007156
CZORTKOWSKI,1924,60209.4,18353.9,78563.3,14809.586361888192
SIERPECKI,1924,59335.09999999999,16339.4,75674.49999999999,14116.260174340372
SANDOMIERSKI,1924,105098.6,10214.1,115312.70000000001,15992.777619267872
RADZYŃSKI,1924,71229.86861799996,19969.199999999997,91199.06861799996,18652.89445424629
RYBNICKI,1924,159589.26608486386,24379.699999999997,183968.96608486387,18580.967873792626
WOLSZTYŃSKI,1924,42155.9,7927.9,50083.8,14817.190344371933
ŻÓŁKIEWSKI,1924,72244.5,15609.4,87853.9,18890.474692958844
LIDZKI,1924,143468.9,15227.7,158696.6,12631.321367854898
CIESZYŃSKI,1924,54469.09688092769,19782.9,74251.99688092769,17736.12968315425
LESZCZYŃSKI,1924,37941.4,21468.5,59409.9,15895.878381148126
PIŃSKI,1924,123341.3,28181.7,151523.0,12941.70641001719
DOLIŃSKI,1924,80503.1,21933.7,102436.8,15953.889497449749
NADWÓRNIAŃSKI,1924,104358.5,13683.8,118042.3,13772.268071176217
ZBARASKI,1924,57735.2,7711.5,65446.7,14378.354797820657
BŁOŃSKI,1924,77827.1,46235.9,124063.0,20026.67600028576
SKIERNIEWICKI,1924,49062.7,17710.2,66772.9,22286.643844370505
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),1924,46319.3,14869.8,61189.100000000006,13534.392672504608
LWOWSKI,1924,119904.9,7157.0,127061.9,21603.106495817054
MOŚCISKI,1924,76488.7,9202.5,85691.2,16809.75555752153
TORUŃSKI,1924,41298.9,58358.600000000006,99657.5,17684.53575031395
SIERADZKI,1924,117217.69999999998,41995.1,159212.8,19949.508215832644
CZARNKOWSKI,1924,36084.8,7230.0,43314.8,12896.414855926023
RADOMSKI,1924,133619.5,70292.5,203912.0,20439.43282618877
KOWELSKI,1924,170090.0,25452.5,195542.5,16053.35272809638
WILEJSKI,1924,111158.6,4070.4,115229.0,9088.715885943966
KROŚNIEŃSKI,1924,92445.2,13059.8,105505.0,17914.772374712746
OSZMIAŃSKI,1924,74509.5204375784,9606.8,84116.3204375784,9096.254136245316
JAROSŁAWSKI,1924,116222.0,24654.8,140876.8,20113.107269553006
CHEŁMIŃSKI,1924,38229.2,10904.9,49134.1,15311.195985563467
ŚWIĘTOCHŁOWICKI,1924,143264.8991198287,42995.3,186260.1991198287,24845.575629392963
NOWOSĄDECKI,1924,119574.9,46072.5,165647.4,17601.929665507676
KOŚCIERSKI,1924,40300.7,9451.1,49751.799999999996,11907.717081190953
BARANOWICKI,1924,113332.3,18641.7,131974.0,11910.362113421745
ŚWIECKI,1924,72194.2,11447.7,83641.9,15497.225128707867
LUBARTOWSKI,1924,89358.0,10571.1,99929.1,20318.844876929576
GRÓDECKI,1924,63231.7,13647.6,76879.3,19392.017634271
RAWSKI (RAWA MAZOWIECKA),1924,71465.9,15040.6,86506.5,18983.746677645624
BĘDZIŃSKI,1924,195393.6,216693.4,412087.0,19452.44183045741
DOBROMILSKI,1924,82947.8,9031.7,91979.5,17170.90143551026
KOBRYŃSKI,1924,75819.2,8775.9,84595.09999999999,15673.731512790508
BRZEŻAŃSKI,1924,76785.7,15888.7,92674.4,15958.127280408675
PRZEWORSKI,1924,51690.9,8061.900000000001,59752.8,20290.092647886795
JASIELSKI,1924,99345.5,11638.199999999999,110983.7,18467.87809144003
ŁĘCZYCKI,1924,95098.2,28699.8,123798.0,18827.85091863532
NIŻAŃSKI,1924,53451.3,10751.7,64203.0,18190.682520716815
WĄGROWIECKI,1924,44305.3,11313.0,55618.3,15323.193507722197
WŁOSZCZOWSKI,1924,81647.1,14506.5,96153.6,17551.88927220947
BORSZCZOWSKI,1924,86198.9,9919.900000000001,96118.79999999999,11137.68276535564
ŁAŃCUCKI,1924,81388.0,12423.5,93811.5,19042.956828224345
SOKÓLSKI,1924,81558.0,14574.9,96132.9,15130.168308386672
BIELSKO,1924,56864.64607452265,22312.800000000003,79177.44607452265,18631.844500745367
ZDOŁBUNOWSKI,1924,84053.9,21719.300000000003,105773.2,13281.64447717199
MŁAWSKI,1924,75364.0,17777.3,93141.3,16192.570402391822
JAROCIŃSKI,1924,70161.0,18889.3,89050.3,17597.67525743413
CZĘSTOCHOWSKI,1924,144102.8,110033.09999999999,254135.89999999997,19048.305123332186
